timeframe,n_obs,lag_k,market_y,pearson_r,pearson_p,coint_t,coint_p,coint_crit_1pct,coint_crit_5pct,coint_crit_10pct,adf_resid_stat,adf_resid_p,adf_resid_crit_1pct,adf_resid_crit_5pct,adf_resid_crit_10pct,ols_alpha,ols_beta,n_used,sample_start,sample_end,is_cointegrated_coint_p_5pct,is_cointegrated_adf_p_5pct,evidence_any_5pct,is_coint_5,is_adf_5,both_5,either_5,score,bh_coint,bh_adf,bh_both
1d,100,3,KRW-XRP,0.9198705738512796,1.2789146710227006e-41,-4.754802019838418,0.0004530057816443,-4.010486025915723,-3.398544335271911,-3.087567926742169,-4.505146061776256,0.0001924723442715,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-8746.46375731207,8.058430300312669e-05,99,2025-05-17 00:00:00,2025-08-24 00:00:00,True,True,True,True,True,True,True,7.05952791915886,True,True,True
1d,100,5,KRW-CKB,0.7710684603539493,6.372652493909724e-21,-3.843907352663628,0.0118344063110768,-4.010486025915723,-3.398544335271911,-3.087567926742169,-3.881989121302862,0.0021714690646845,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-13.378475857933813,1.2827705711740157e-07,99,2025-05-15 00:00:00,2025-08-22 00:00:00,True,True,True,True,True,True,True,4.5900998774860415,False,True,False
1d,100,5,KRW-XRP,0.8960711268531709,2.4365115034675594e-36,-3.9285924940265007,0.0090541054394648,-4.010486025915723,-3.398544335271911,-3.087567926742169,-3.717792761852974,0.0038697309121389,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-8333.513721403484,7.802653302524004e-05,99,2025-05-15 00:00:00,2025-08-22 00:00:00,True,True,True,True,True,True,True,4.455473685525723,False,True,False
1d,100,3,KRW-CKB,0.7724094943177263,4.9507888171604415e-21,-3.6865938470000623,0.0190652901298662,-4.010486025915723,-3.398544335271911,-3.087567926742169,-3.6261775227944426,0.0052798455205948,-3.4989097606014496,-2.891516256916761,-2.5827604414827157,-13.564468264902349,1.292788717921709e-07,98,2025-05-17 00:00:00,2025-08-24 00:00:00,True,True,True,True,True,True,True,3.9971353653837234,False,True,False
